Scenarios,Relative_Efficacy,Contamination,Scenarios2
Daily_Water_Test,1,Low,Daily Water Test
Daily_Produce_Test,0.8255,Low,Daily Product Test
Water_Testing_1,0.5767,Low,Water Testing 1
Water_Testing_2,0.8248,Low,Water Testing 2
Water_Testing_3,0.9319,Low,Water Testing 3
Produce_Testing_1,0.0314,Low,Product Testing 1
Produce_Testing_2,0.0775,Low,Product Testing 2
Produce_Testing_3,0.1143,Low,Product Testing 3
Daily_Water&Product_Test,1,Low,Daily Water & Product Test
Water&Product_1,0.5682,Low,Water & Product 1
Water&Product_2,0.8273,Low,Water & Product 2
Water&Product_3,0.9263,Low,Water & Product 3
Daily_Water_Test,1,High,Daily Water Test
Daily_Produce_Test,1,High,Daily Product Test
Water_Testing_1,1,High,Water Testing 1
Water_Testing_2,1,High,Water Testing 2
Water_Testing_3,1,High,Water Testing 3
Produce_Testing_1,0.05,High,Product Testing 1
Produce_Testing_2,1,High,Product Testing 2
Produce_Testing_3,1,High,Product Testing 3
Daily_Water&Product_Test,1,High,Daily Water & Product Test
Water&Product_1,1,High,Water & Product 1
Water&Product_2,1,High,Water & Product 2
Water&Product_3,1,High,Water & Product 3
