"","Drates","Cluster","samp_rate","assay_rate","Level","Type"
"1",0.3722,"100",0.9694,0.384583123919398,"Contamination - High","Produce Testing - Daily"
"2",0.3669,"50",0.9547,0.387090159044237,"Contamination - High","Produce Testing - Daily"
"3",0.3954,"25",0.9239,0.429599557789861,"Contamination - High","Produce Testing - Daily"
"4",0.4889,"12.5",0.8461,0.570469499610459,"Contamination - High","Produce Testing - Daily"
"5",0.5666,"6.2",0.6893,0.819028697184784,"Contamination - High","Produce Testing - Daily"
"6",0.4758,"3.1",0.4826,0.985342074052075,"Contamination - High","Produce Testing - Daily"
"7",0.288,"1.6",0.288,0.999987847714055,"Contamination - High","Produce Testing - Daily"
"8",0.157,"0.8",0.157,0.999999999991845,"Contamination - High","Produce Testing - Daily"
"9",0.0842,"0.4",0.0842,1,"Contamination - High","Produce Testing - Daily"
"10",0.0439,"0.2",0.0439,1,"Contamination - High","Produce Testing - Daily"
"11",0.021,"0.1",0.021,1,"Contamination - High","Produce Testing - Daily"
"12",0.0206,"100",0.4245,0.0520507494300935,"Contamination - High","Produce Testing 1 sample - End"
"13",0.0205,"50",0.3405,0.0652111624101197,"Contamination - High","Produce Testing 1 sample - End"
"14",0.0232,"25",0.2214,0.107232962361775,"Contamination - High","Produce Testing 1 sample - End"
"15",0.0288,"12.5",0.1218,0.246684680661437,"Contamination - High","Produce Testing 1 sample - End"
"16",0.0415,"6.2",0.0627,0.656387445220799,"Contamination - High","Produce Testing 1 sample - End"
"17",0.0318,"3.1",0.0328,0.978468283489572,"Contamination - High","Produce Testing 1 sample - End"
"18",0.0166,"1.6",0.0166,0.999983788815367,"Contamination - High","Produce Testing 1 sample - End"
"19",0.0085,"0.8",0.0085,0.99999999999958,"Contamination - High","Produce Testing 1 sample - End"
"20",0.0042,"0.4",0.0042,1,"Contamination - High","Produce Testing 1 sample - End"
"21",0.0029,"0.2",0.0029,1,"Contamination - High","Produce Testing 1 sample - End"
"22",4e-04,"0.1",4e-04,1,"Contamination - High","Produce Testing 1 sample - End"
"23",0.0167,"100",0.3018,0.0530511446604233,"Contamination - Low","Produce Testing - Daily"
"24",0.0158,"50",0.2918,0.0535493581265904,"Contamination - Low","Produce Testing - Daily"
"25",0.0177,"25",0.2999,0.053850127870129,"Contamination - Low","Produce Testing - Daily"
"26",0.0155,"12.5",0.2967,0.054437780322357,"Contamination - Low","Produce Testing - Daily"
"27",0.015,"6.2",0.2714,0.0571837515737007,"Contamination - Low","Produce Testing - Daily"
"28",0.0153,"3.1",0.2473,0.0606461051051993,"Contamination - Low","Produce Testing - Daily"
"29",0.0125,"1.6",0.2023,0.0718021390281023,"Contamination - Low","Produce Testing - Daily"
"30",0.0165,"0.8",0.1432,0.11257820071037,"Contamination - Low","Produce Testing - Daily"
"31",0.0198,"0.4",0.0858,0.249490137121927,"Contamination - Low","Produce Testing - Daily"
"32",0.0277,"0.2",0.0417,0.64052417889039,"Contamination - Low","Produce Testing - Daily"
"33",0.0215,"0.1",0.0221,0.970456922022263,"Contamination - Low","Produce Testing - Daily"
