,Drates,Cluster
0,0.0087,1
1,0.0202,2
2,0.0271,3
3,0.0338,4
4,0.0426,5
5,0.0418,6
6,0.0406,7
7,0.0415,8
8,0.0377,9
9,0.0365,10
10,0.0341,11
11,0.031,12
12,0.0329,13
13,0.0276,14
14,0.0267,15
15,0.0306,16
16,0.0283,17
17,0.0249,18
18,0.0256,19
19,0.0256,20
20,0.0268,21
21,0.0256,22
22,0.0236,23
23,0.0246,24
24,0.0235,25
25,0.0223,26
26,0.0226,27
27,0.0206,28
28,0.0216,29
29,0.0218,30
30,0.0237,31
31,0.0205,32
32,0.0239,33
33,0.0214,34
34,0.0251,35
35,0.0199,36
36,0.0208,37
37,0.0216,38
38,0.0234,39
39,0.0229,40
40,0.0226,41
41,0.023,42
42,0.0218,43
43,0.0215,44
44,0.0194,45
45,0.0234,46
46,0.024,47
47,0.0236,48
48,0.0227,49
49,0.0221,50
50,0.0228,51
51,0.0202,52
52,0.0233,53
53,0.022,54
54,0.021,55
55,0.0219,56
56,0.0236,57
57,0.0203,58
58,0.0207,59
59,0.0227,60
60,0.022,61
61,0.0218,62
62,0.0241,63
63,0.0242,64
64,0.0216,65
65,0.0214,66
66,0.0217,67
67,0.0222,68
68,0.0225,69
69,0.0204,70
70,0.0206,71
71,0.0238,72
72,0.0239,73
73,0.0219,74
74,0.0225,75
75,0.0225,76
76,0.0225,77
77,0.0215,78
78,0.021,79
79,0.0226,80
80,0.0229,81
81,0.0227,82
82,0.021,83
83,0.0213,84
84,0.0218,85
85,0.0228,86
86,0.0202,87
87,0.0236,88
88,0.0211,89
89,0.022,90
90,0.0241,91
91,0.022,92
92,0.0239,93
93,0.0235,94
94,0.0223,95
95,0.0205,96
96,0.0204,97
97,0.0213,98
98,0.0238,99
99,0.0238,100
