,Drates,Cluster,samp_rate,assay_rate
0,0.0727,100.0,0.8437,0.08941829834280587
1,0.075,50.0,0.8377,0.08992789394838772
2,0.0734,25.0,0.8214,0.09012212654019255
3,0.072,12.5,0.8013,0.0904941660829698
4,0.0742,6.25,0.7509,0.0948078911403361
5,0.0687,3.125,0.6476,0.10693417360131512
6,0.0811,1.5625,0.4764,0.1669357616313387
7,0.1103,0.78125,0.2918,0.3708783753664143
8,0.1208,0.390625,0.1535,0.7904317789801812
9,0.0826,0.1953125,0.083,0.9953601030764279
10,0.0369,0.09765625,0.0369,0.9999992940038261
