,Drates,Cluster,samp_rate,assay_rate
0,0.0667,100.0,0.8059,0.08414515898611821
1,0.0663,50.0,0.796,0.08356252913444781
2,0.0676,25.0,0.7932,0.08448847877675457
3,0.0672,12.5,0.7669,0.084601501451359
4,0.063,6.25,0.7145,0.08871896816967918
5,0.064,3.125,0.6268,0.10072837951985053
6,0.0727,1.5625,0.4778,0.14671853771574606
7,0.0931,0.78125,0.2919,0.31156524520962303
8,0.111,0.390625,0.1521,0.7314581953525257
9,0.0749,0.1953125,0.0759,0.9912207101841343
10,0.035,0.09765625,0.035,0.9999978225858809
