,Drates,Cluster,samp_rate,assay_rate
0,0.0167,100.0,0.3018,0.05305114466042334
1,0.0158,50.0,0.2918,0.053549358126590355
2,0.0177,25.0,0.2999,0.053850127870129015
3,0.0155,12.5,0.2967,0.054437780322356966
4,0.015,6.25,0.2714,0.05718375157370074
5,0.0153,3.125,0.2473,0.06064610510519932
6,0.0125,1.5625,0.2023,0.07180213902810226
7,0.0165,0.78125,0.1432,0.11257820071037043
8,0.0198,0.390625,0.0858,0.2494901371219266
9,0.0277,0.1953125,0.0417,0.6405241788903903
10,0.0215,0.09765625,0.0221,0.970456922022263
