,Drates,Cluster,samp_rate,assay_rate
0,0.0008,100.0,0.0171,0.043044005836359624
1,0.0006,50.0,0.0192,0.04358948163589118
2,0.0009,25.0,0.0162,0.043386265161555894
3,0.0009,12.5,0.0152,0.04430773257554585
4,0.0006,6.25,0.0146,0.04650422564190817
5,0.0005,3.125,0.0126,0.04900798075627234
6,0.0007,1.5625,0.0104,0.059901476297435426
7,0.0005,0.78125,0.0069,0.09416655912861406
8,0.0009,0.390625,0.0042,0.25624369374643774
9,0.0008,0.1953125,0.0013,0.5092570223380665
10,0.0008,0.09765625,0.0008,0.9615311884767606
