Scenarios,Detection_Rate,Contamination,Scenarios2,Type,Test_Type,Freq
Daily_Water_Test,1,High,Water Testing - Daily,Random Contamination - Once,Water,Daily
Water_Testing_1,0.207,High,Water Testing -  End,Random Contamination - Once,Water,End of Season
Water_Testing_4,0.0222,High,Water Testing -  Start,Random Contamination - Once,Water,Start of Season
Water_Testing_2,0.0436,High,Water Testing - Start & End,Random Contamination - Once,Water,Start & End of Seas
Water_Testing_3,0.0659,High,"Water Testing - Start, Mid & End",Random Contamination - Once,Water,"Start, Mid & End of Season"
Daily_Produce_Test,0.0852,High,Produce Testing - Daily,Random Contamination - Once,Produce,Daily
Produce_Testing_1,0.0816,High,Produce Testing - End,Random Contamination - Once,Produce,End of Season
Produce_Testing_4,0.001,High,Produce Testing - Start,Random Contamination - Once,Produce,Start of Season
Produce_Testing_2,0.0788,High,Produce Testing - Start & End,Random Contamination - Once,Produce,Start & End of Seas
Produce_Testing_3,0.082,High,"Produce Testing - Start, Mid & End",Random Contamination - Once,Produce,"Start, Mid & End of Season"
Daily_Water&Product_Test,1,High,Water and Produce Testing - Daily,Random Contamination - Once,Both,Daily
Water&Product_1,0.1041,High,Water and Produce Testing - End,Random Contamination - Once,Both,End of Season
Water&Product_4,0.0228,High,Water and Produce Testing - Start,Random Contamination - Once,Both,Start of Season
Water&Product_2,0.1175,High,Water and Produce Testing - Start & End,Random Contamination - Once,Both,Start & End of Seas
Water&Product_3,0.1437,High,"Water and Produce Testing - Start, Mid & End",Random Contamination - Once,Both,"Start, Mid & End of Season"
Daily_Water_Test,0.5801,Low,Water Testing - Daily,Random Contamination - Once,Water,Daily
Water_Testing_1,0.0141,Low,Water Testing -  End,Random Contamination - Once,Water,End of Season
Water_Testing_4,0.0128,Low,Water Testing -  Start,Random Contamination - Once,Water,Start of Season
Water_Testing_2,0.0258,Low,Water Testing - Start & End,Random Contamination - Once,Water,Start & End of Seas
Water_Testing_3,0.0393,Low,"Water Testing - Start, Mid & End",Random Contamination - Once,Water,"Start, Mid & End of Season"
Daily_Produce_Test,0.027,Low,Produce Testing - Daily,Random Contamination - Once,Produce,Daily
Produce_Testing_1,0.0015,Low,Produce Testing - End,Random Contamination - Once,Produce,End of Season
Produce_Testing_4,0,Low,Produce Testing - Start,Random Contamination - Once,Produce,Start of Season
Produce_Testing_2,0.0024,Low,Produce Testing - Start & End,Random Contamination - Once,Produce,Start & End of Seas
Produce_Testing_3,0.0019,Low,"Produce Testing - Start, Mid & End",Random Contamination - Once,Produce,"Start, Mid & End of Season"
Daily_Water&Product_Test,0.5956,Low,Water and Produce Testing - Daily,Random Contamination - Once,Both,Daily
Water&Product_1,0.0141,Low,Water and Produce Testing - End,Random Contamination - Once,Both,End of Season
Water&Product_4,0.0123,Low,Water and Produce Testing - Start,Random Contamination - Once,Both,Start of Season
Water&Product_2,0.027,Low,Water and Produce Testing - Start & End,Random Contamination - Once,Both,Start & End of Seas
Water&Product_3,0.0437,Low,"Water and Produce Testing - Start, Mid & End",Random Contamination - Once,Both,"Start, Mid & End of Season"
