,Drates,Cluster,samp_rate,assay_rate
0,0.0146,100.0,0.3067,0.05118750962290391
1,0.0155,50.0,0.3013,0.05128155570005311
2,0.0145,25.0,0.2963,0.052221100721569484
3,0.0136,12.5,0.276,0.05345687682534969
4,0.0156,6.25,0.2418,0.059522735347846877
5,0.0144,3.125,0.1977,0.07421003475090181
6,0.0165,1.5625,0.1286,0.11564045620374817
7,0.0239,0.78125,0.074,0.29135012864372145
8,0.0272,0.390625,0.0379,0.7072242803866655
9,0.0187,0.1953125,0.0187,0.9919176897821047
10,0.0068,0.09765625,0.0068,0.9999993718430744
