,Drates,Cluster,samp_rate,assay_rate
0,0.0352,100.0,0.5162,0.06783162297575696
1,0.0375,50.0,0.5152,0.0679982112993211
2,0.0321,25.0,0.4976,0.06848862583649377
3,0.0329,12.5,0.4763,0.06983610125899811
4,0.0324,6.25,0.44,0.07506029976673917
5,0.0306,3.125,0.3721,0.08804636994754318
6,0.037,1.5625,0.2669,0.13557499040269028
7,0.0475,0.78125,0.1561,0.30196407339733056
8,0.0593,0.390625,0.0809,0.7327554300012782
9,0.0367,0.1953125,0.0371,0.9924882169773266
10,0.0164,0.09765625,0.0164,0.9999983937823875
