,Contamination_Level,PDetect,Rec_Rate
0,0.0,0.0,0.16
1,0.1,0.03,0.16
2,0.2,0.04,0.16
3,0.30000000000000004,0.1,0.16
4,0.4,0.14,0.16
5,0.5,0.09,0.16
6,0.6000000000000001,0.24,0.16
7,0.7000000000000001,0.29,0.16
8,0.8,0.33,0.16
9,0.9,0.4,0.16
10,1.0,0.5,0.16
11,1.1,0.56,0.16
12,1.2000000000000002,0.59,0.16
13,1.3,0.6,0.16
14,1.4000000000000001,0.63,0.16
15,1.5,0.69,0.16
16,1.6,0.75,0.16
17,1.7000000000000002,0.76,0.16
18,1.8,0.77,0.16
19,1.9000000000000001,0.82,0.16
20,2.0,0.81,0.16
21,2.1,0.78,0.16
22,2.2,0.89,0.16
23,2.3000000000000003,0.85,0.16
24,2.4000000000000004,0.87,0.16
25,2.5,0.91,0.16
26,2.6,0.95,0.16
27,2.7,0.91,0.16
28,2.8000000000000003,0.96,0.16
29,2.9000000000000004,0.93,0.16
30,3.0,0.93,0.16
31,3.1,0.96,0.16
32,3.2,0.93,0.16
33,3.3000000000000003,0.96,0.16
34,3.4000000000000004,0.97,0.16
35,3.5,0.98,0.16
36,3.6,0.97,0.16
37,3.7,0.99,0.16
38,3.8000000000000003,0.99,0.16
39,3.9000000000000004,1.0,0.16
40,4.0,0.99,0.16
41,4.1000000000000005,0.99,0.16
42,4.2,0.99,0.16
43,4.3,0.97,0.16
44,4.4,0.99,0.16
45,4.5,1.0,0.16
46,4.6000000000000005,1.0,0.16
47,4.7,1.0,0.16
48,4.800000000000001,1.0,0.16
49,4.9,0.99,0.16
50,5.0,1.0,0.16
51,5.1000000000000005,1.0,0.16
52,5.2,1.0,0.16
53,5.300000000000001,1.0,0.16
54,5.4,1.0,0.16
55,5.5,1.0,0.16
56,5.6000000000000005,1.0,0.16
57,5.7,1.0,0.16
58,5.800000000000001,1.0,0.16
59,5.9,1.0,0.16
60,6.0,1.0,0.16
61,6.1000000000000005,1.0,0.16
62,6.2,1.0,0.16
63,6.300000000000001,1.0,0.16
64,6.4,1.0,0.16
65,6.5,1.0,0.16
66,6.6000000000000005,1.0,0.16
67,6.7,0.99,0.16
68,6.800000000000001,1.0,0.16
69,6.9,1.0,0.16
70,7.0,1.0,0.16
71,7.1000000000000005,1.0,0.16
72,7.2,1.0,0.16
73,7.300000000000001,1.0,0.16
74,7.4,1.0,0.16
75,7.5,0.99,0.16
76,7.6000000000000005,1.0,0.16
77,7.7,1.0,0.16
78,7.800000000000001,1.0,0.16
79,7.9,1.0,0.16
80,8.0,1.0,0.16
81,8.1,1.0,0.16
82,8.200000000000001,1.0,0.16
83,8.3,1.0,0.16
84,8.4,1.0,0.16
85,8.5,1.0,0.16
86,8.6,1.0,0.16
87,8.700000000000001,1.0,0.16
88,8.8,1.0,0.16
89,8.9,1.0,0.16
90,9.0,1.0,0.16
91,9.1,1.0,0.16
92,9.200000000000001,1.0,0.16
93,9.3,1.0,0.16
94,9.4,1.0,0.16
95,9.5,1.0,0.16
96,9.600000000000001,1.0,0.16
97,9.700000000000001,1.0,0.16
98,9.8,1.0,0.16
99,9.9,1.0,0.16
100,10.0,1.0,0.16
101,10.100000000000001,1.0,0.16
102,10.200000000000001,1.0,0.16
103,10.3,1.0,0.16
104,10.4,1.0,0.16
105,10.5,1.0,0.16
106,10.600000000000001,1.0,0.16
107,10.700000000000001,1.0,0.16
108,10.8,1.0,0.16
109,10.9,1.0,0.16
110,11.0,1.0,0.16
111,11.100000000000001,1.0,0.16
112,11.200000000000001,1.0,0.16
113,11.3,1.0,0.16
114,11.4,1.0,0.16
115,11.5,1.0,0.16
116,11.600000000000001,1.0,0.16
117,11.700000000000001,1.0,0.16
118,11.8,1.0,0.16
119,11.9,1.0,0.16
120,12.0,1.0,0.16
121,12.100000000000001,1.0,0.16
122,12.200000000000001,1.0,0.16
123,12.3,1.0,0.16
124,12.4,1.0,0.16
125,12.5,1.0,0.16
126,12.600000000000001,1.0,0.16
127,12.700000000000001,1.0,0.16
128,12.8,1.0,0.16
129,12.9,1.0,0.16
130,13.0,1.0,0.16
131,13.100000000000001,1.0,0.16
132,13.200000000000001,1.0,0.16
133,13.3,1.0,0.16
134,13.4,1.0,0.16
135,13.5,1.0,0.16
136,13.600000000000001,1.0,0.16
137,13.700000000000001,1.0,0.16
138,13.8,1.0,0.16
139,13.9,1.0,0.16
140,14.0,1.0,0.16
141,14.100000000000001,1.0,0.16
142,14.200000000000001,1.0,0.16
143,14.3,1.0,0.16
144,14.4,1.0,0.16
145,14.5,1.0,0.16
146,14.600000000000001,1.0,0.16
147,14.700000000000001,1.0,0.16
148,14.8,1.0,0.16
149,14.9,1.0,0.16
150,15.0,1.0,0.16
151,15.100000000000001,1.0,0.16
152,15.200000000000001,1.0,0.16
153,15.3,1.0,0.16
154,15.4,1.0,0.16
155,15.5,1.0,0.16
156,15.600000000000001,1.0,0.16
157,15.700000000000001,1.0,0.16
158,15.8,1.0,0.16
159,15.9,1.0,0.16
160,16.0,1.0,0.16
161,16.1,1.0,0.16
162,16.2,1.0,0.16
163,16.3,1.0,0.16
164,16.400000000000002,1.0,0.16
165,16.5,1.0,0.16
166,16.6,1.0,0.16
167,16.7,1.0,0.16
168,16.8,1.0,0.16
169,16.900000000000002,1.0,0.16
170,17.0,1.0,0.16
171,17.1,1.0,0.16
172,17.2,1.0,0.16
173,17.3,1.0,0.16
174,17.400000000000002,1.0,0.16
175,17.5,1.0,0.16
176,17.6,1.0,0.16
177,17.7,1.0,0.16
178,17.8,1.0,0.16
179,17.900000000000002,1.0,0.16
180,18.0,1.0,0.16
181,18.1,1.0,0.16
182,18.2,1.0,0.16
183,18.3,1.0,0.16
184,18.400000000000002,1.0,0.16
185,18.5,1.0,0.16
186,18.6,1.0,0.16
187,18.7,1.0,0.16
188,18.8,1.0,0.16
189,18.900000000000002,1.0,0.16
190,19.0,1.0,0.16
191,19.1,1.0,0.16
192,19.200000000000003,1.0,0.16
193,19.3,1.0,0.16
194,19.400000000000002,1.0,0.16
195,19.5,1.0,0.16
196,19.6,1.0,0.16
197,19.700000000000003,1.0,0.16
198,19.8,1.0,0.16
199,19.900000000000002,1.0,0.16
0,0.0,0.0,0.16
1,0.1,0.0,0.16
2,0.2,0.05,0.16
3,0.30000000000000004,0.08,0.16
4,0.4,0.14,0.16
5,0.5,0.19,0.16
6,0.6000000000000001,0.27,0.16
7,0.7000000000000001,0.32,0.16
8,0.8,0.35,0.16
9,0.9,0.32,0.16
10,1.0,0.46,0.16
11,1.1,0.45,0.16
12,1.2000000000000002,0.54,0.16
13,1.3,0.59,0.16
14,1.4000000000000001,0.64,0.16
15,1.5,0.7,0.16
16,1.6,0.71,0.16
17,1.7000000000000002,0.77,0.16
18,1.8,0.77,0.16
19,1.9000000000000001,0.75,0.16
