,Drates,Cluster
0,0.192,1
1,0.327,2
2,0.462,3
3,0.546,4
4,0.533,5
5,0.542,6
6,0.545,7
7,0.516,8
8,0.497,9
9,0.502,10
10,0.464,11
11,0.434,12
12,0.479,13
13,0.406,14
14,0.433,15
15,0.412,16
16,0.458,17
17,0.433,18
18,0.372,19
19,0.386,20
20,0.403,21
21,0.376,22
22,0.342,23
23,0.3,24
24,0.373,25
25,0.373,26
26,0.363,27
27,0.351,28
28,0.333,29
29,0.287,30
30,0.334,31
31,0.301,32
32,0.318,33
33,0.366,34
34,0.365,35
35,0.364,36
36,0.348,37
37,0.351,38
38,0.308,39
39,0.329,40
40,0.332,41
41,0.3,42
42,0.312,43
43,0.283,44
44,0.276,45
45,0.299,46
46,0.269,47
47,0.262,48
48,0.253,49
49,0.35,50
50,0.352,51
51,0.335,52
52,0.334,53
53,0.34,54
54,0.351,55
55,0.328,56
56,0.364,57
57,0.337,58
58,0.312,59
59,0.322,60
60,0.35,61
61,0.295,62
62,0.295,63
63,0.326,64
64,0.307,65
65,0.299,66
66,0.297,67
67,0.295,68
68,0.281,69
69,0.283,70
70,0.276,71
71,0.301,72
72,0.264,73
73,0.279,74
74,0.265,75
75,0.275,76
76,0.237,77
77,0.225,78
78,0.211,79
79,0.236,80
80,0.231,81
81,0.242,82
82,0.225,83
83,0.235,84
84,0.205,85
85,0.234,86
86,0.22,87
87,0.248,88
88,0.227,89
89,0.212,90
90,0.215,91
91,0.195,92
92,0.213,93
93,0.206,94
94,0.197,95
95,0.196,96
96,0.19,97
97,0.196,98
98,0.176,99
99,0.357,100
