,Drates,Cluster,samp_rate,assay_rate
0,0.0068,100.0,0.155,0.04575730357473334
1,0.006,50.0,0.1518,0.046318034726805395
2,0.0068,25.0,0.1491,0.04696807644613803
3,0.0084,12.5,0.1462,0.04820602933978066
4,0.0075,6.25,0.1319,0.049973539646090775
5,0.0055,3.125,0.1171,0.053838947578978835
6,0.0069,1.5625,0.098,0.06630012045823698
7,0.0072,0.78125,0.0672,0.10290129665350271
8,0.0095,0.390625,0.0366,0.2661814016149901
9,0.0121,0.1953125,0.019,0.6319073891282687
10,0.0084,0.09765625,0.0086,0.9674464412687861
